65:8916,10005,12343,12194,12195,12196,12197,12198,12199,8810,8799,13071,11824,4640,4624,9102,9992,9036,8918,12488,11189,8965,8855,12757,12745,13092,4622,4623,4625,4626
66:11735,8799,8801,8809,7727,12492,8793,12490,8796,11185,12485,4622,4623,4624,4625,4626,4627,4628,4629,4630,4631,4632,4634,4635,4636,4637,4638,4639,4640,4641
79:4622,4623,4624,4625,4626,4627,4628,4629,4630,4631,4632,4634,4635,4636,4637,4638,4639,4640,4641,4642,4643,5022,5023,5024,5027,5028,5029,5031,5033,5034
98:9541,8811,9542,9544,9497,8813,8782,11425,8785,8797,13047,8783,12628,12862,12627,9090,9083,13118,13048,9551,8838,9094,8836,8839,9035,11211,13114,11188,12863,11193
410:7508,11268,11269,11212,11145,13167,11437,11270,9986,12478,11215,7526,7329,7330,9029,8845,13170,11356,11277,12636,8920,5022,5023,7164,12853,5024,7166,12856,13131,7163
445:13013,11352,11191,13100,11145,9537,13010,11185,9035,11183,13047,8801,9022,11359,12620,12622,12626,11269,9549,11213,8789,11196,11277,12303,12749,12750,11208,8962,12339,12634
17:5033,8990,8845,8789,10111,12620,12492,8796,11210,12350,8788,4622,4623,4624,4625,4626,4627,4628,4629,4630,4631,4632,4634,4635,4636,4637,4638,4639,4640,4641
487:9985,12862,10108,9824,9553,10117,13132,13028,8965,11188,12863,12294,12864,9988,12726,8842,9987,4622,4623,4624,4625,4626,4627,4628,4629,4630,4631,4632,4634,4635
17:5033,8990,8845,8789,10111,12620,12492,8796,11210,12350,8788,4622,4623,4624,4625,4626,4627,4628,4629,4630,4631,4632,4634,4635,4636,4637,4638,4639,4640,4641
519:13170,12622,8833,12625,7307,12351,9099,13025,12296,8852,13013,8840,13052,9581,13058,8846,13056,9028,11152,11281,13096,11150,8841,11360,11284,12621,13057,13009,12620,13043
17:5033,8990,8845,8789,10111,12620,12492,8796,11210,12350,8788,4622,4623,4624,4625,4626,4627,4628,4629,4630,4631,4632,4634,4635,4636,4637,4638,4639,4640,4641
539:8841,9096,13087,13013,12622,9087,8846,13170,11150,12620,12621,9581,10118,11152,12351,8833,12625,12296,11270,12618,13167,11210,13040,8990,11284,13133,8850,8844,11149,13139
17:5033,8990,8845,8789,10111,12620,12492,8796,11210,12350,8788,4622,4623,4624,4625,4626,4627,4628,4629,4630,4631,4632,4634,4635,4636,4637,4638,4639,4640,4641
