26:11205,12350,13017,12351,12347,11442,4624,7306,7507,8393,7308,7503,7504,7511,11430,7524,7515,12349,7525,7516,11433,12201,12378,12379,11435,7522,7164,7330,4638,11440
27:9495,8925,9490,9493,9512,12861,9494,8990,9986,9992,8897,8894,8920,8891,10793,8969,9991,8899,12870,8903,10784,9497,8915,8906,11212,9983,10790,8781,8898,12726
52:13017,11195,11337,13008,13129,9031,12863,9036,11804,12194,8916,13064,12195,12198,12199,12197,12196,12864,13132,8800,8799,11359,12484,13019,12485,11872,13125,12248,8795,10102
65:9581,8916,10786,7172,9994,11873,9582,11189,9091,4624,9333,12475,5027,9024,8422,9090,13114,12343,10099,9991,8891,11152,7501,9332,12474,12746,9984,13092,9579,13071
66:12485,12490,8799,12868,8809,12492,9664,11185,10006,8780,10102,8806,8792,9579,8779,8801,8808,8786,8798,13009,8895,8793,10101,12491,9033,11806,10096,8804,8796,11825
68:8963,13025,13054,9095,13022,8844,13010,11185,9103,11210,13052,9828,9082,11148,8852,11142,13048,9092,9083,12296,9826,8990,8833,12486,11150,9581,11272,8848,9983,13170
79:9033,8842,13014,8798,13132,11191,12755,9984,13129,12864,13029,8791,9581,10100,8853,12342,13013,11192,10010,11181,13074,11804,11735,8902,13056,12351,9082,13092,9026,13115
82:13129,8838,11188,8422,13125,9988,11147,11352,12869,12864,10790,12754,12862,13087,12863,8800,11211,11353,9098,9827,9534,8899,11351,12342,9581,11193,8834,13122,9544,12345
98:9497,8782,9534,8785,8781,8790,8797,8811,8813,9541,9542,9551,8812,8783,8788,8792,9533,13129,8838,8422,8851,11147,11352,11425,11188,12869,10790,9544,13125,9988
134:12350,11205,11429,12351,7519,7520,11207,12753,8810,12347,12349,11427,11415,11421,13074,13019,11975,9020,12301,11956,11208,8835,11801,10111,8855,9022,9996,8787,13061,13037
136:12753,13096,12345,12486,9020,13037,11207,12350,8837,12475,13020,9034,8959,8790,8794,13128,9025,13088,11824,12349,8788,9582,11351,8898,13034,9037,13018,11150,8957,8778
137:11441,13033,8777,11145,11207,11804,10786,7172,11206,9994,13084,9984,9551,9033,13080,9582,7504,8798,8796,5027,11281,4626,8791,13019,11197,8783,13024,12485,8793,10099
139:8798,11441,8795,12757,12750,12491,12752,8787,12347,8801,8786,12758,12340,11197,11099,12746,8793,9318,8796,8810,8781,11353,8791,11196,12749,9033,8790,12339,12490,11198
140:10794,11441,8922,8929,8900,13066,9554,13019,13175,9828,9021,8897,12484,13043,8787,12483,8969,8793,8898,8902,12756,12488,13076,11356,9083,11926,9332,8800,8777,12479
142:9672,8996,8902,8990,11144,8903,12745,7306,7507,8393,7308,7503,7504,7511,11430,7524,7515,4624,7525,7516,11433,12201,12378,12379,11435,7522,7164,7330,4638,11440
167:11421,11734,11801,13061,13078,11193,13066,9035,11192,11197,11354,11195,13074,11194,11352,13042,13047,12347,8796,9542,9537,4637,8959,9540,4634,8783,8813,4639,12345,8962
176:11818,11409,11408,5027,11826,11824,9511,9504,12741,10099,13114,7172,10786,12619,11803,9994,12747,8778,12868,12742,10026,12471,9510,11418,9582,11208,10098,11738,9991,11871
198:9580,12342,9544,11213,11359,8842,8808,13038,13129,8852,11337,11188,13047,12440,12345,9534,11276,8838,8778,13125,8422,11194,13106,11352,9988,9099,11354,9554,9542,12864
201:12862,9827,12871,12872,9988,12864,12481,8984,12869,12487,12865,9990,11188,12484,12488,9507,8896,13129,9983,8838,13125,8422,9992,12483,11147,11352,12863,10790,8800,8901
204:9586,8394,9021,7522,7524,7515,13080,7516,9028,7160,11443,7525,8800,7724,11268,11427,11426,11428,8793,8922,9825,8853,12759,9322,11141,8777,8839,13168,11198,8834
217:9086,13132,9084,9088,8812,13091,9104,12351,9093,9102,9083,8838,8845,13072,7501,12491,13129,11147,12343,13095,13125,8422,11150,8395,8854,11188,11352,9098,13087,13019
226:9097,8855,13115,13069,13123,9094,13135,13127,11147,11272,12342,9987,12487,8778,8898,12440,9544,8842,12486,9580,13038,13106,9554,12485,11359,11213,8776,13047,8808,12492
230:9586,7522,9034,4626,9022,9037,7524,7515,9025,9028,12475,7516,9030,7160,7525,9318,7501,13080,9021,9032,9024,12634,9036,11143,9087,13175,9026,9092,8796,13060
249:13129,8838,8422,11147,11211,11352,11188,13125,8846,12869,8800,10790,8839,9988,12754,9096,13087,12864,13138,12290,13117,9315,13134,9098,9083,13167,12620,12863,12862,9548
250:13136,4642,4627,4622,4636,4631,4643,4623,11872,11925,13019,7523,11195,13134,13078,13121,13138,9035,12290,11192,9104,8854,13174,9098,13139,11197,13072,9984,11281,13171
267:13127,8851,12299,12302,13071,8846,13121,12290,9083,12620,8854,12622,9825,13138,12621,11280,8839,13167,12623,12618,12633,13117,9984,13124,11150,9103,13134,11211,9096,13171
268:9580,12440,9544,8808,13106,8809,8776,13047,12301,11359,11213,13038,8775,9534,8842,8900,12342,9542,8852,9100,8835,12345,9554,10111,13054,8777,8792,11351,13128,8793
332:12490,8798,12868,12491,12485,12757,8799,9664,8809,8795,12492,12750,8801,8786,8787,12347,12752,12340,8793,8796,12758,9033,12746,11185,11197,11099,8780,8810,10006,9318
337:9827,12872,12871,12862,12481,8984,12487,12865,9988,9990,12864,12484,9507,12488,12869,8896,9983,9992,12483,11188,8901,13014,12870,12868,13125,13015,9824,13129,8838,12863
410:7508,7526,11152,9029,11212,7329,11269,11437,11270,8804,9986,11268,11359,12294,12342,8845,11412,12345,8780,10783,5022,5023,9989,13047,8928,8961,8776,12856,11145,8959
412:7512,7513,12296,7520,13133,11272,8833,13116,13170,11284,9088,13072,11281,13126,8883,11271,8854,9103,13174,13013,12622,7169,12756,11276,9082,9098,11194,13139,13069,8837
417:8833,13116,12296,11272,13170,13133,11284,13126,9103,9088,8883,11281,9089,11271,8854,13072,13013,9083,12622,8848,9082,13174,11273,7512,13048,9540,7520,11150,10786,13134
420:11213,9544,9580,12342,11276,13038,11359,8842,8808,8852,9099,11354,12440,13047,13119,8849,11194,9542,13106,8778,9554,12345,13169,11152,8776,8848,13120,11356,12492,11277
421:13129,8838,8422,11147,11188,11352,12869,10790,13125,9988,11211,12754,13087,8800,12864,12862,12863,8839,8846,9098,13117,11353,9315,9827,8899,9534,9096,11351,13122,12342
424:13098,9090,13095,13137,9101,10112,13139,13135,9093,9092,9100,13080,9026,9553,13128,9985,9826,11198,12493,9540,9025,13028,11276,9508,13132,11187,12480,8854,13058,8792
425:13087,9104,13136,11269,11359,11273,12342,11213,11194,11212,11268,8848,9099,8808,13057,12345,9034,11276,12294,13119,13169,13120,11270,9580,4640,9544,11277,11152,11356,13038
