65:9112,9116,9117,8321,9111,9934,12343,13045,9109,9108,9105,9106,9490,11873,9091,8853,12251,11408,11239,12714
66:9122,5022,7164,4636,12065,12198,9336,12822,8392,12444,11735,9778,13131,9346,9779,12305,12996,11926,8387,8832
79:9566,12437,10794,9115,10430,11018,12081,9712,9339,12027,13100,9568,12777,10959,11181,12863,11415,10439,8703,10891
98:8825,9720,9497,9958,9988,12777,9845,11359,9591,9589,9910,9123,9911,9962,12091,8782,9592,8813,9913,9886
410:11152,9560,7508,10237,9376,9335,7513,11231,12691,11442,9029,9716,11235,4624,9381,11191,10251,9556,9567,9717
445:8613,8614,8615,8618,8619,8620,8621,8622,8623,8625,8626,8627,8629,8630,8631,8632,8633,8634,8635,8650
462:8834,9939,9563,11191,11281,11241,9380,11168,11380,12710,9458,11369,11383,9580,11145,9467,11206,13168,8389,4642
487:12489,12768,12766,12487,9428,9707,11698,9422,8686,10426,10439,12486,12777,12779,9848,9123,9826,8703,9863,9857
498:13170,9562,11284,8833,13116,9905,8854,12299,11272,9349,11170,12296,9904,9088,9083,9559,9903,13133,9089,9907
519:8613,8614,8615,8618,8619,8620,8621,8622,8623,8625,8626,8627,8629,8630,8631,8632,8633,8634,8635,8650
522:9455,11230,9574,10997,9977,12005,12751,9130,10897,13123,12069,11145,11699,9468,10005,11148,9888,12479,11956,12865
539:9472,9894,9716,9897,9471,12781,9096,12716,9410,9567,9969,9920,9417,9368,9719,9833,9898,9527,9971,11281
543:8851,10110,12302,9836,9838,9968,9364,13119,12697,9465,9831,7504,9888,9315,12693,9944,9368,9466,9363,9460
544:13044,13024,13080,10416,11242,9529,10417,13010,8852,11155,13052,13092,9133,10415,11148,13011,13015,8844,13020,13102
563:11270,9378,9451,12700,11268,11145,9377,9397,9450,8845,12699,12704,11213,11171,9580,11269,11354,9921,12273,12702
576:10997,11230,9455,9574,9977,12005,12751,9130,10897,13123,12069,11145,11699,10005,9468,11148,9888,12479,12865,11956
588:9397,11208,11268,9450,12304,8845,11212,11255,9378,9608,11213,11269,9379,12702,12294,9451,10439,9560,12704,11254
590:13057,13025,13020,13044,8698,13092,13013,9388,13029,13018,13022,13023,13080,13011,13009,13010,9923,13105,13015,13008
600:11168,8834,11281,12710,11380,8836,9563,13168,9380,9939,9888,11206,12707,9927,11383,11209,9467,9940,8389,9089
632:9842,9905,13138,9562,12299,9970,11168,9714,11284,9436,11246,12620,11272,12296,12953,12290,7501,9907,8854,12984
676:9582,9346,12305,11217,9778,13131,8832,5022,9129,9779,9517,8901,7164,9125,9930,10104,11469,12439,11412,12079
685:12700,11268,11270,9921,12304,11152,12704,11382,11269,9378,8848,11145,9451,11213,9377,10242,9560,8883,12699,9580
686:11376,12290,9970,9436,9927,12621,9939,11346,9561,9555,9111,11362,8689,11150,12618,7501,12951,12984,9557,9315
694:10104,9994,9781,12633,13131,9574,12631,12620,9647,9330,7172,9865,9522,9332,12179,11191,8980,12077,9020,8839
704:9433,12293,12300,8883,9370,12302,12303,9942,12299,9968,9927,11153,12290,7309,9546,9941,12296,8853,9461,9362
705:8837,9091,8838,7172,13168,12179,12332,12088,12077,8843,12079,11226,9781,9861,8652,11363,8686,13104,13098,9097
713:9436,11246,9561,12620,12290,12618,12622,9103,8699,12631,11211,11362,8846,11376,11280,12984,12621,13167,12951,9703
714:9894,9471,9716,13087,9472,12304,9897,11281,8836,13136,8834,9417,12709,9883,11262,9836,9380,11168,9511,13052
723:11179,9315,9316,9314,9323,9317,11180,8622,11181,9324,9325,11234,9320,9321,8613,8614,8615,8618,8619,8620
732:11197,11152,9383,12345,11231,7508,9716,9362,11354,11171,9376,11195,9444,11360,9035,9364,9884,10237,12691,9029
